選手ID,選手名,集計区分,年度,シーズン,役名,出現回数,和了時出現率,和了時平均翻,和了時平均点
P0010,☆魔雀T塾生☆,シーズン,2026,セミファイナル,一盃口,1,25.0%,9.00,"16,000"
P0010,☆魔雀T塾生☆,シーズン,2026,セミファイナル,平和,2,50.0%,8.00,"14,300"
P0010,☆魔雀T塾生☆,シーズン,2026,セミファイナル,門前清摸和,3,75.0%,6.33,"11,200"
P0010,☆魔雀T塾生☆,シーズン,2026,セミファイナル,立直,3,75.0%,6.33,"11,200"
P0010,☆魔雀T塾生☆,シーズン,2026,セミファイナル,發,1,25.0%,1.00,"1,100"
P0018,Blue-K18,シーズン,2026,セミファイナル,西,1,50.0%,2.00,"4,000"
P0018,Blue-K18,シーズン,2026,セミファイナル,南,1,50.0%,2.00,"4,000"
P0018,Blue-K18,シーズン,2026,セミファイナル,平和,1,50.0%,4.00,"9,100"
P0018,Blue-K18,シーズン,2026,セミファイナル,門前清摸和,1,50.0%,4.00,"9,100"
P0018,Blue-K18,シーズン,2026,セミファイナル,立直,1,50.0%,4.00,"9,100"
P0024,EmperorTime,シーズン,2026,セミファイナル,対々和,1,33.3%,6.00,"12,000"
P0024,EmperorTime,シーズン,2026,セミファイナル,断ヤオ,1,33.3%,2.00,"2,000"
P0024,EmperorTime,シーズン,2026,セミファイナル,中,1,33.3%,6.00,"12,000"
P0024,EmperorTime,シーズン,2026,セミファイナル,南,1,33.3%,2.00,"2,000"
P0024,EmperorTime,シーズン,2026,セミファイナル,平和,1,33.3%,2.00,"2,000"
P0030,Hiromu,シーズン,2026,セミファイナル,一発,2,33.3%,5.00,"12,900"
P0030,Hiromu,シーズン,2026,セミファイナル,七対子,1,16.7%,3.00,"3,200"
P0030,Hiromu,シーズン,2026,セミファイナル,断ヤオ,2,33.3%,4.50,"12,900"
P0030,Hiromu,シーズン,2026,セミファイナル,平和,3,50.0%,3.33,"5,200"
P0030,Hiromu,シーズン,2026,セミファイナル,門前清摸和,2,33.3%,5.00,"12,900"
P0030,Hiromu,シーズン,2026,セミファイナル,立直,3,50.0%,4.33,"9,900"
P0044,Mychemi,シーズン,2026,セミファイナル,三色同順,1,25.0%,1.00,"1,000"
P0044,Mychemi,シーズン,2026,セミファイナル,断ヤオ,1,25.0%,6.00,"12,000"
P0044,Mychemi,シーズン,2026,セミファイナル,南,1,25.0%,2.00,"3,900"
P0044,Mychemi,シーズン,2026,セミファイナル,門前清摸和,1,25.0%,6.00,"12,000"
P0044,Mychemi,シーズン,2026,セミファイナル,發,1,25.0%,1.00,"1,500"
P0053,ｒｒｒｒｒｒ,シーズン,2026,セミファイナル,發,1,100.0%,1.00,"1,500"
P0075,エイデン二号機,シーズン,2026,セミファイナル,平和,3,100.0%,4.33,"7,667"
P0075,エイデン二号機,シーズン,2026,セミファイナル,門前清摸和,2,66.7%,5.00,"8,600"
P0075,エイデン二号機,シーズン,2026,セミファイナル,立直,2,66.7%,5.00,"8,600"
P0101,くれば,シーズン,2026,セミファイナル,ダブ東,1,20.0%,3.00,"5,800"
P0101,くれば,シーズン,2026,セミファイナル,一盃口,1,20.0%,5.00,"8,000"
P0101,くれば,シーズン,2026,セミファイナル,河底撈魚,1,20.0%,5.00,"8,000"
P0101,くれば,シーズン,2026,セミファイナル,断ヤオ,1,20.0%,5.00,"8,000"
P0101,くれば,シーズン,2026,セミファイナル,中,1,20.0%,3.00,"5,800"
P0101,くれば,シーズン,2026,セミファイナル,白,1,20.0%,2.00,"2,600"
P0101,くれば,シーズン,2026,セミファイナル,平和,1,20.0%,5.00,"8,000"
P0101,くれば,シーズン,2026,セミファイナル,門前清摸和,1,20.0%,5.00,"8,000"
P0101,くれば,シーズン,2026,セミファイナル,立直,3,60.0%,5.33,"9,333"
P0110,サンタマルコ,シーズン,2026,セミファイナル,混一色,1,33.3%,5.00,"8,000"
P0110,サンタマルコ,シーズン,2026,セミファイナル,中,1,33.3%,1.00,"1,500"
P0110,サンタマルコ,シーズン,2026,セミファイナル,南,1,33.3%,5.00,"8,000"
P0110,サンタマルコ,シーズン,2026,セミファイナル,發,1,33.3%,1.00,"1,500"
P0127,ソニア@SMY会,シーズン,2026,セミファイナル,南,1,100.0%,1.00,"1,500"
P0194,ミッキー柳井,シーズン,2026,セミファイナル,一発,1,20.0%,3.00,"4,000"
P0194,ミッキー柳井,シーズン,2026,セミファイナル,断ヤオ,1,20.0%,3.00,"3,900"
P0194,ミッキー柳井,シーズン,2026,セミファイナル,東,2,40.0%,1.50,"1,500"
P0194,ミッキー柳井,シーズン,2026,セミファイナル,門前清摸和,2,40.0%,2.50,"3,500"
P0194,ミッキー柳井,シーズン,2026,セミファイナル,立直,2,40.0%,2.50,"3,500"
P0215,りゅー,シーズン,2026,セミファイナル,一気通貫,1,50.0%,2.00,"2,300"
P0215,りゅー,シーズン,2026,セミファイナル,立直,1,50.0%,1.00,"3,300"
P0236,乙子,シーズン,2026,セミファイナル,対々和,1,25.0%,2.00,"4,500"
P0236,乙子,シーズン,2026,セミファイナル,白,1,25.0%,2.00,"2,600"
P0236,乙子,シーズン,2026,セミファイナル,門前清摸和,1,25.0%,4.00,"8,000"
P0236,乙子,シーズン,2026,セミファイナル,立直,2,50.0%,3.00,"5,950"
P0245,仇森龍,シーズン,2026,セミファイナル,門前清摸和,1,100.0%,5.00,"12,000"
P0245,仇森龍,シーズン,2026,セミファイナル,立直,1,100.0%,5.00,"12,000"
P0255,元教室生タク,シーズン,2026,セミファイナル,白,1,25.0%,4.00,"8,000"
P0255,元教室生タク,シーズン,2026,セミファイナル,平和,1,25.0%,3.00,"3,900"
P0255,元教室生タク,シーズン,2026,セミファイナル,門前清摸和,2,50.0%,3.50,"5,950"
P0255,元教室生タク,シーズン,2026,セミファイナル,立直,3,75.0%,2.67,"4,400"
P0276,松崎真也,シーズン,2026,セミファイナル,一盃口,1,25.0%,7.00,"18,000"
P0276,松崎真也,シーズン,2026,セミファイナル,混一色,1,25.0%,4.00,"12,000"
P0276,松崎真也,シーズン,2026,セミファイナル,三色同順,1,25.0%,7.00,"18,000"
P0276,松崎真也,シーズン,2026,セミファイナル,断ヤオ,2,50.0%,4.00,"9,500"
P0276,松崎真也,シーズン,2026,セミファイナル,白,1,25.0%,4.00,"12,000"
P0276,松崎真也,シーズン,2026,セミファイナル,平和,1,25.0%,7.00,"18,000"
P0276,松崎真也,シーズン,2026,セミファイナル,門前清摸和,1,25.0%,3.00,"6,000"
P0276,松崎真也,シーズン,2026,セミファイナル,立直,2,50.0%,5.00,"12,000"
P0279,上野あいみ,シーズン,2026,セミファイナル,一気通貫,1,33.3%,5.00,"8,000"
P0279,上野あいみ,シーズン,2026,セミファイナル,混一色,1,33.3%,5.00,"8,000"
P0279,上野あいみ,シーズン,2026,セミファイナル,断ヤオ,2,66.7%,4.00,"6,650"
P0279,上野あいみ,シーズン,2026,セミファイナル,中,1,33.3%,5.00,"8,000"
P0279,上野あいみ,シーズン,2026,セミファイナル,門前清摸和,1,33.3%,7.00,"12,000"
P0279,上野あいみ,シーズン,2026,セミファイナル,立直,1,33.3%,7.00,"12,000"
P0283,青ヒゲ危機一髪,シーズン,2026,セミファイナル,一気通貫,1,20.0%,5.00,"12,000"
P0283,青ヒゲ危機一髪,シーズン,2026,セミファイナル,西,1,20.0%,3.00,"6,400"
P0283,青ヒゲ危機一髪,シーズン,2026,セミファイナル,断ヤオ,1,20.0%,5.00,"8,000"
P0283,青ヒゲ危機一髪,シーズン,2026,セミファイナル,東,1,20.0%,1.00,"2,000"
P0283,青ヒゲ危機一髪,シーズン,2026,セミファイナル,平和,1,20.0%,5.00,"8,000"
P0283,青ヒゲ危機一髪,シーズン,2026,セミファイナル,門前清摸和,2,40.0%,5.00,"10,000"
P0283,青ヒゲ危機一髪,シーズン,2026,セミファイナル,立直,3,60.0%,4.33,"8,800"
P0288,赤哲,シーズン,2026,セミファイナル,ダブ南,1,33.3%,4.00,"8,000"
P0288,赤哲,シーズン,2026,セミファイナル,河底撈魚,1,33.3%,4.00,"8,000"
P0288,赤哲,シーズン,2026,セミファイナル,三色同順,1,33.3%,5.00,"8,000"
P0288,赤哲,シーズン,2026,セミファイナル,断ヤオ,1,33.3%,5.00,"8,000"
P0288,赤哲,シーズン,2026,セミファイナル,立直,1,33.3%,1.00,"1,300"
P0298,中出雄介,シーズン,2026,セミファイナル,一盃口,1,50.0%,4.00,"8,000"
P0298,中出雄介,シーズン,2026,セミファイナル,白,1,50.0%,1.00,"3,200"
P0298,中出雄介,シーズン,2026,セミファイナル,門前清摸和,1,50.0%,4.00,"8,000"
P0302,店長倍損の上司,シーズン,2026,セミファイナル,断ヤオ,1,100.0%,1.00,"1,500"
P0316,黙示録@SMY会,シーズン,2026,セミファイナル,ダブ南,1,16.7%,5.00,"8,000"
P0316,黙示録@SMY会,シーズン,2026,セミファイナル,一発,1,16.7%,5.00,"12,000"
P0316,黙示録@SMY会,シーズン,2026,セミファイナル,中,1,16.7%,3.00,"9,600"
P0316,黙示録@SMY会,シーズン,2026,セミファイナル,白,1,16.7%,5.00,"8,000"
P0316,黙示録@SMY会,シーズン,2026,セミファイナル,門前清摸和,1,16.7%,3.00,"6,000"
P0316,黙示録@SMY会,シーズン,2026,セミファイナル,立直,4,66.7%,3.25,"6,450"
P0316,黙示録@SMY会,シーズン,2026,セミファイナル,發,1,16.7%,3.00,"9,600"
